,Location,ad_id,ad_link,energy_label,lat,local_area_name,lon,property_type_description,size_from,type,byggear_cat,ownership_cat,"lat,lon"
58,"Toranesgata 13, Mo i Rana",257249805,https://www.finn.no/realestate/homes/ad.html?finnkode=257249805,7,66.31594,,14.13652,Enebolig,135.0,realestate,0,1,"66.31594,14.13652"
59,"bontlabo 9, Kalvåg",257001565,https://www.finn.no/realestate/homes/ad.html?finnkode=257001565,7,61.76306,kalvåg,4.8755,Enebolig,127.0,realestate,0,1,"61.76306,4.8755"
60,"Kvaløyveien 68, Sømna",256876916,https://www.finn.no/realestate/homes/ad.html?finnkode=256876916,7,65.23449,,12.01709,Enebolig,142.0,realestate,0,1,"65.23449,12.01709"
61,"Elvely 13, Ålvik",232160131,https://www.finn.no/realestate/homes/ad.html?finnkode=232160131,7,60.4355,Ålvik,6.4356,Enebolig,139.0,realestate,0,1,"60.4355,6.4356"
62,"Støtterudvegen 6E, Fjerdingby",256488756,https://www.finn.no/realestate/homes/ad.html?finnkode=256488756,7,59.9024,Smestad/Rælingen,11.0943,Enebolig,167.0,realestate,0,1,"59.9024,11.0943"
63,"Skovbøleveien 6, Fredrikstad",255661638,https://www.finn.no/realestate/homes/ad.html?finnkode=255661638,7,59.22013,,10.94953,Enebolig,234.0,realestate,0,1,"59.22013,10.94953"
64,"Vestre Fognavegen 299, Fogn",235743597,https://www.finn.no/realestate/homes/ad.html?finnkode=235743597,7,59.1518,Fogn,5.92,Enebolig,94.0,realestate,0,1,"59.1518,5.92"
66,"Furnesvegen 105, Brumunddal",214832820,https://www.finn.no/realestate/homes/ad.html?finnkode=214832820,7,60.8742,#BRUMUNDDAL,10.96189,Enebolig,182.0,realestate,0,1,"60.8742,10.96189"
67,"Gamleveien 59, Hauge i Dalane",238471980,https://www.finn.no/realestate/homes/ad.html?finnkode=238471980,7,58.3421,Sokndal,6.2857,Enebolig,81.0,realestate,0,1,"58.3421,6.2857"
68,"Lensbygdavegen 472, Skreia",231884373,https://www.finn.no/realestate/homes/ad.html?finnkode=231884373,7,60.6399,,10.86486,Enebolig,116.0,realestate,0,1,"60.6399,10.86486"
69,"Gammelveien 12, Rena",220774222,https://www.finn.no/realestate/homes/ad.html?finnkode=220774222,7,61.13863,#RENA,11.36733,Enebolig,186.0,realestate,0,1,"61.13863,11.36733"
70,"Heggevegen 11B, Ottestad",258700696,https://www.finn.no/realestate/homes/ad.html?finnkode=258700696,6,60.7782,Ottestad,11.1175,Enebolig,165.0,realestate,6,1,"60.7782,11.1175"
71,"Raset 18, Skien",260517852,https://www.finn.no/realestate/homes/ad.html?finnkode=260517852,5,59.17906,Kjørbekk - Skien,9.62433,Enebolig,166.0,realestate,0,1,"59.17906,9.62433"
72,"Bredalsmarken 16, Bergen",259726601,https://www.finn.no/realestate/homes/ad.html?finnkode=259726601,5,60.3865,Sentrum,5.3184,Leilighet,67.0,realestate,0,2,"60.3865,5.3184"
73,"Hornelandsvegen 146, Stord",260032960,https://www.finn.no/realestate/homes/ad.html?finnkode=260032960,5,59.7575,Heiane,5.4498,Enebolig,111.0,realestate,0,1,"59.7575,5.4498"
74,"Ragnhildrødveien 10, Stokke",259151850,https://www.finn.no/realestate/homes/ad.html?finnkode=259151850,5,59.22187,Stokke / Bokemoa,10.27998,Enebolig,168.0,realestate,0,1,"59.22187,10.27998"
75,"Skådalsveien 13A, Oslo",235416693,https://www.finn.no/realestate/homes/ad.html?finnkode=235416693,5,59.95828,VETTAKOLLEN / SLEMDAL,10.69576,Enebolig,374.0,realestate,0,1,"59.95828,10.69576"
